member_id,member,state_district,ticker,instrument,direction,opened_at,closed_or_marked_at,status,holding_days,holding_return_pct,spy_return_pct,excess_return_pct,return_90d_pct,excess_90d_pct,filing_id,source_url
john-rutherford,John Rutherford,FL04,SMFKY,Stock,Long,2017-07-11,2021-02-11,No price match,,,,,,,20009815,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20009815.pdf
john-rutherford,John Rutherford,FL04,SSEZY,Stock,Long,2017-07-11,2026-09-14,Open · latest mark,3352,171.2,261.5,-90.2,-0.4,-5.8,20009815,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20009815.pdf
john-rutherford,John Rutherford,FL04,VIV,Stock,Long,2017-07-11,2026-09-14,Open · latest mark,3352,61.2,261.5,-200.3,16.3,11,20009815,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20009815.pdf
john-rutherford,John Rutherford,FL04,VET,Stock,Long,2017-07-11,2026-09-14,Open · latest mark,3352,-36,261.5,-297.4,17.2,11.9,20009815,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20009815.pdf
david-joyce,David P. Joyce,OH14,MDY,Stock,Long,2019-09-20,2026-09-14,Open · latest mark,2551,106.4,181.2,-74.8,6.1,-1.5,20014973,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20014973.pdf
david-joyce,David P. Joyce,OH14,SPY,Stock,Long,2017-07-12,2026-09-14,Open · latest mark,3351,258.8,258.8,0,4.9,0,20008517,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2019/20008517.pdf
john-rutherford,John Rutherford,FL04,ABBV,Stock,Long,2017-07-17,2022-03-16,Closed,1703,165.1,92.1,73.1,25.6,21.2,20009815,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20009815.pdf
john-rutherford,John Rutherford,FL04,AEP,Stock,Long,2017-07-17,2020-10-21,Closed,1192,47,48.5,-1.5,7.6,3.3,20009815,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20009815.pdf
john-rutherford,John Rutherford,FL04,AMP,Stock,Long,2017-07-17,2026-09-14,Open · latest mark,3346,394.6,256.6,138,14.2,9.8,20009815,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20009815.pdf
john-rutherford,John Rutherford,FL04,T,Stock,Long,2017-07-17,2021-02-23,Closed,1317,6.6,68.6,-62,-0.3,-4.6,20009815,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20009815.pdf
john-rutherford,John Rutherford,FL04,CVX,Stock,Long,2017-07-17,2022-03-16,Closed,1703,87.4,92.1,-4.7,15.5,11.1,20009815,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20009815.pdf
john-rutherford,John Rutherford,FL04,CCI,Stock,Long,2017-07-17,2022-03-16,Closed,1703,110.4,92.1,18.4,6.8,2.5,20009815,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20009815.pdf
